"","sample_names","PercentageOverLibrary","QC_result_deviance","QC_result_Percentage","QC_result"
"Sample1","Sample1","0","OK","OK","OK"
"Sample2","Sample2","0.389","OK","OK","OK"
"Sample3","Sample3","5.721","FAIL","OK","FAIL"
"Sample4","Sample4","0.004","OK","OK","OK"
"Sample5","Sample5","0.004","OK","OK","OK"
"Sample6","Sample6","1.838","ALERT","OK","ALERT"
"Sample7","Sample7","0.005","OK","OK","OK"
"Sample8","Sample8","0","OK","OK","OK"
"Sample9","Sample9","0","OK","OK","OK"
"Sample10","Sample10","0","OK","OK","OK"
"Sample11","Sample11","0","OK","OK","OK"
"Sample12","Sample12","0.05","OK","OK","OK"
"Sample13","Sample13","0","OK","OK","OK"
"Sample14","Sample14","0","OK","OK","OK"
"Sample15","Sample15","0","OK","OK","OK"
"Sample16","Sample16","0","OK","OK","OK"
"Sample17","Sample17","0","OK","OK","OK"
"Sample18","Sample18","0.007","OK","OK","OK"
"Sample19","Sample19","0.034","OK","OK","OK"
"Sample20","Sample20","0","OK","OK","OK"
"Sample21","Sample21","0","OK","OK","OK"
"Sample22","Sample22","0","OK","OK","OK"
"Sample23","Sample23","0","OK","OK","OK"
"Sample24","Sample24","0","OK","OK","OK"
