"","sample_names","PercentageOverLibrary","QC_result"
"Sample1","Sample1","2.274","OK"
"Sample2","Sample2","1.342","OK"
"Sample3","Sample3","1.158","OK"
"Sample4","Sample4","2.833","OK"
"Sample5","Sample5","0.889","OK"
"Sample6","Sample6","1.774","OK"
"Sample7","Sample7","1.381","OK"
"Sample8","Sample8","1.598","OK"
"Sample9","Sample9","28.738","ALERT"
"Sample10","Sample10","1.057","OK"
"Sample11","Sample11","1.105","OK"
"Sample12","Sample12","1.454","OK"
"Sample13","Sample13","79.825","FAIL"
"Sample14","Sample14","1.762","OK"
"Sample15","Sample15","1.137","OK"
"Sample16","Sample16","1.468","OK"
"Sample17","Sample17","1.963","OK"
"Sample18","Sample18","1.438","OK"
"Sample19","Sample19","1.397","OK"
"Sample20","Sample20","2.069","OK"
"Sample21","Sample21","1.558","OK"
"Sample22","Sample22","1.528","OK"
"Sample23","Sample23","1.748","OK"
"Sample24","Sample24","1.755","OK"
